Index,Time,voltage,velocity
26843,53.687298,11219,1.49169326
26844,53.689278,-17675,1.52578282
26845,53.691268,10375,1.56732929
26846,53.693273,1378,1.60248411
26847,53.695275,3236,1.62272477
26848,53.697295,-16328,1.62805116
26849,53.699274,17608,1.58543932
26850,53.701276,-397,1.57585168
26851,53.703269,16446,1.57159042
26852,53.705271,-9564,1.55987215
26853,53.707273,13881,1.53323972
26854,53.709296,8470,1.49275851
26855,53.711276,-7696,1.47464848
26856,53.713268,-8022,1.43736303
26857,53.715270,11433,1.39475119
26858,53.717272,-7170,1.44162416
26859,53.719274,10195,1.48849726
26860,53.721294,-4455,1.53217447
26861,53.723295,-17780,1.58011281
26862,53.725274,-1139,1.62059414
26863,53.727276,-6964,1.673859
26864,53.729278,8654,1.77080107
26865,53.731390,-4997,1.93166089
26866,53.733279,13873,2.18839741
26867,53.735269,-11957,2.41424036
26868,53.737271,9013,2.55166364
26869,53.739273,15995,2.60173249
26870,53.741274,-12986,2.57190442
26871,53.743350,-15705,2.48348475
26872,53.745272,-528,2.39932632
26873,53.747274,-9245,2.3332777
26874,53.749276,-10577,2.38121629
26875,53.751268,-625,2.4355464
26876,53.753272,-6879,2.50798631
26877,53.755291,2510,2.58362246
26878,53.757271,11999,2.64860559
26879,53.759273,-996,2.68802166
26880,53.761275,-5639,2.67097688
26881,53.763268,17439,2.55272913
26882,53.765290,624,2.36949801
26883,53.767277,-7653,2.0871942
26884,53.769268,14339,1.76547456
26885,53.771269,17941,1.43736303
26886,53.773273,-9617,1.22963023
26887,53.775466,274,1.17849588
26888,53.777275,3920,1.20406306
26889,53.779292,-5353,1.29461336
26890,53.781272,-5158,1.41818774
26891,53.783276,7544,1.49701965
26892,53.785277,11954,1.57904756
26893,53.787268,17999,1.61526763
26894,53.789303,6960,1.58437407
26895,53.791298,1839,1.57372117
26896,53.793279,10934,1.5502845
26897,53.795269,8765,1.52578282
26898,53.797271,-17591,1.65042245
26899,53.799273,-11082,1.90183258
